#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       23400       3.808791e-03       1.166980e-04       2.164053e-03       2.875982e-02       3.233273e-03       1.159112e-02
       23500       3.825612e-03       1.255951e-04       2.135810e-03       2.676255e-02       2.797165e-03       1.160916e-02
       23600       4.192795e-03       1.319120e-04       2.353531e-03       2.931802e-02       2.663072e-03       1.162819e-02
       23700       3.950723e-03       5.210426e-05       2.228758e-03       2.966741e-02       3.214746e-03       1.180943e-02
       23800       3.966654e-03       9.523142e-05       2.176575e-03       2.678962e-02       2.887560e-03       1.170819e-02
       23900       3.870723e-03       8.001454e-05       2.208091e-03       2.705039e-02       3.178253e-03       1.179713e-02
       24000       4.039586e-03       3.722689e-05       2.205145e-03       2.947874e-02       3.372107e-03       1.189061e-02
       24100       4.240714e-03       1.330722e-04       2.357836e-03       2.639307e-02       3.189447e-03       1.174971e-02
       24200       4.030124e-03       1.128547e-04       2.230508e-03       2.637843e-02       2.793550e-03       1.170205e-02
       24300       3.881766e-03       1.713999e-04       2.178247e-03       2.452350e-02       3.267504e-03       1.165298e-02
       24400       4.075197e-03       1.459024e-04       2.282803e-03       2.666157e-02       2.994282e-03       1.178284e-02
       24500       4.171424e-03       1.205910e-04       2.198282e-03       3.437537e-02       3.498076e-03       1.181502e-02
       24600       4.016498e-03       1.296325e-04       2.210841e-03       2.643444e-02       3.328053e-03       1.162714e-02
       24700       3.986921e-03       1.455210e-04       2.257468e-03       2.733781e-02       3.191602e-03       1.163607e-02
       24800       3.784065e-03       4.952968e-05       2.127760e-03       3.444904e-02       3.152476e-03       1.204911e-02
       24900       4.030593e-03       6.852053e-05       2.291467e-03       3.159752e-02       3.226604e-03       1.192838e-02
       25000       4.180657e-03       1.276701e-04       2.278389e-03       2.736785e-02       3.092719e-03       1.186070e-02
       25100       4.042591e-03       2.085925e-04       2.240915e-03       2.603016e-02       2.498962e-03       1.188239e-02
       25200       4.126182e-03       3.340015e-05       2.288150e-03       2.863422e-02       2.438252e-03       1.193076e-02
       25300       3.836415e-03       7.346057e-05       2.163729e-03       2.535909e-02       3.629007e-03       1.203839e-02
       25400       4.307314e-03       8.773508e-05       2.383520e-03       2.730203e-02       2.680696e-03       1.171745e-02
       25500       4.063613e-03       1.097988e-04       2.287660e-03       2.979344e-02       3.173479e-03       1.181104e-02
       25600       3.906386e-03       1.166755e-04       2.250124e-03       2.601463e-02       3.824227e-03       1.191956e-02
       25700       4.134234e-03       5.225674e-05       2.367220e-03       2.630083e-02       4.036534e-03       1.191382e-02
       25800       3.909640e-03       7.246170e-05       2.202023e-03       2.725709e-02       3.435847e-03       1.191106e-02
       25900       4.193485e-03       7.132737e-05       2.373682e-03       2.785774e-02       3.517627e-03       1.198460e-02
       26000       4.064678e-03       1.200685e-04       2.244625e-03       2.875916e-02       3.972109e-03       1.188383e-02
       26100       3.940789e-03       1.223603e-04       2.160287e-03       2.541475e-02       3.805260e-03       1.217947e-02
       26200       4.316935e-03       8.391778e-05       2.425676e-03       2.484576e-02       3.006335e-03       1.163244e-02
       26300       3.872499e-03       7.025520e-05       2.179212e-03       2.856277e-02       3.134885e-03       1.162461e-02
       26400       4.080297e-03       7.616345e-05       2.259670e-03       2.976570e-02       3.122820e-03       1.192258e-02
